ticker,isin,company_name,company_type_profile,kpi_name,kpi_tier,kpi_required_status,score_audit_value,evidence_applied_value,profiled_master_value,source_layer,source_name,source_type,source_reference,source_as_of_date,review_status,applied_status,provenance_status,reason_code
NL0012817175,NL0012817175,"Alfen N.V. Registered Shares EO -,10",OTHER,pe_current,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0012817175,NL0012817175,"Alfen N.V. Registered Shares EO -,10",OTHER,pe_hist,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0012817175,NL0012817175,"Alfen N.V. Registered Shares EO -,10",OTHER,revenue_cagr_5y,CORE_QUALITY_REQUIRED,CORE_QUALITY_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0012817175,NL0012817175,"Alfen N.V. Registered Shares EO -,10",OTHER,roce,ADVANCED_OPTIONAL,ADVANCED_OPTIONAL,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0012817175,NL0012817175,"Alfen N.V. Registered Shares EO -,10",OTHER,roic,ADVANCED_OPTIONAL,ADVANCED_OPTIONAL,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0012817175,NL0012817175,"Alfen N.V. Registered Shares EO -,10",OTHER,share_count_cagr_5y,CORE_QUALITY_REQUIRED,CORE_QUALITY_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0012817175,NL0012817175,"Alfen N.V. Registered Shares EO -,10",OTHER,target_fcf_yield_pct,VALUATION_REQUIRED,VALUATION_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,buyback_yield,ADVANCED_OPTIONAL,ADVANCED_OPTIONAL,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,dividend_cagr_5y,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,dividend_streak_years,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,dividend_yield_current_pct,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,dividend_yield_hist_pct,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,drawdown_from_high_pct,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,eps_cagr_5y,CORE_QUALITY_REQUIRED,CORE_QUALITY_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,ev_ebit_current,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,ev_ebit_hist,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,expected_return_pct,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,fcf_margin,DIVIDEND_FCF_REQUIRED,DIVIDEND_FCF_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,fcf_per_share_cagr_5y,DIVIDEND_FCF_REQUIRED,DIVIDEND_FCF_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,fcf_yield_current_pct,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,fcf_yield_hist_pct,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0014332678,NL0014332678,"JDE Peet's N.V. Registered Shares EO-,01",OTHER,gross_margin,CORE_QUALITY_REQUIRED,CORE_QUALITY_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
